Date,EUR,GBP
1/4/1999,1.1812,1.6581
1/5/1999,1.176,1.6566
1/6/1999,1.1636,1.6547
1/7/1999,1.1672,1.6495
1/8/1999,1.1554,1.6405
1/11/1999,1.1534,1.6375
1/12/1999,1.1548,1.6308
1/13/1999,1.1698,1.6493
1/14/1999,1.1689,1.653
1/15/1999,1.1591,1.65
1/19/1999,1.161,1.655
1/20/1999,1.1575,1.6467
1/21/1999,1.1577,1.6516
1/22/1999,1.1582,1.656
1/25/1999,1.1566,1.6563
1/26/1999,1.1577,1.6585
1/27/1999,1.1481,1.6485
1/28/1999,1.1395,1.647
1/29/1999,1.1371,1.6457
2/1/1999,1.1303,1.641
2/2/1999,1.1328,1.643
2/3/1999,1.1339,1.6375
2/4/1999,1.1306,1.6395
2/5/1999,1.1283,1.637
2/8/1999,1.1296,1.638
2/9/1999,1.13,1.6355
2/10/1999,1.1331,1.629
2/11/1999,1.1303,1.6244
2/12/1999,1.1282,1.6311
2/16/1999,1.1189,1.6317
2/17/1999,1.123,1.6338
2/18/1999,1.1223,1.6338
2/19/1999,1.1075,1.6255
2/22/1999,1.1037,1.6238
2/23/1999,1.0993,1.6138
2/24/1999,1.0972,1.598
2/25/1999,1.1068,1.606
2/26/1999,1.0995,1.6027
3/1/1999,1.0891,1.6058
3/2/1999,1.0931,1.6135
3/3/1999,1.0888,1.6134
3/4/1999,1.0824,1.6065
3/5/1999,1.0843,1.6073
3/8/1999,1.0899,1.6085
3/9/1999,1.0873,1.6148
3/10/1999,1.0961,1.6267
3/11/1999,1.0932,1.627
3/12/1999,1.0936,1.6335
3/15/1999,1.093,1.6223
3/16/1999,1.0915,1.624
3/17/1999,1.1015,1.6302
3/18/1999,1.099,1.629
3/19/1999,1.0923,1.6303
3/22/1999,1.0915,1.628
3/23/1999,1.0918,1.6372
3/24/1999,1.0921,1.641
3/25/1999,1.0871,1.6314
3/26/1999,1.0743,1.6205
3/29/1999,1.0716,1.614
3/30/1999,1.0732,1.6115
3/31/1999,1.0808,1.614
4/1/1999,1.0782,1.6063
4/2/1999,1.0782,1.6023
4/5/1999,1.0706,1.6015
4/6/1999,1.0838,1.592
4/7/1999,1.0784,1.5975
4/8/1999,1.0835,1.6083
4/9/1999,1.0786,1.6068
4/12/1999,1.0842,1.6127
4/13/1999,1.078,1.6135
4/14/1999,1.0779,1.6124
4/15/1999,1.0717,1.6103
4/16/1999,1.0688,1.6112
4/19/1999,1.0608,1.6075
4/20/1999,1.063,1.6135
4/21/1999,1.0612,1.6074
4/22/1999,1.0598,1.6117
4/23/1999,1.0634,1.617
4/26/1999,1.059,1.6113
